INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Mary E. T. Boyle,ENG 100L - Design for Development Lab,WI24,20,25.0,4.0,5.80,4.94,5.00,5.00
Maryann Bratton,ENG 100L - Design for Development Lab,FA23,8,37.5,3.95,8.33,4.67,4.67,4.67
