INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Frank Peter Biess,HIEU 128 - Europe since 1945,FA23,77,74.03,3.35,6.58,4.52,4.35,4.64
Ivana Polic,HIEU 128 - Europe since 1945,S223,20,30.0,3.23,6.67,4.46,4.26,4.58
