INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Geoffroy Tobe,VIS 106B - Painting: Practices and Genre,WI24,20,35.0,4.0,7.86,4.89,4.82,4.85
Mara Julia De Luca,VIS 106B - Painting: Practices and Genre,FA23,25,64.0,3.94,9.38,4.77,4.67,4.73
