INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (001),WI24,"21
(85.71%)",3.53 (B+),4.33,4.47,4.64,4.72
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (002),WI24,"20
(70.00%)",3.90 (A-),3.71,4.05,4.22,4.67
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (003),WI24,"20
(80.00%)",4.00 (A),3.00,4.42,4.52,4.65
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (005),WI24,"20
(90.00%)",4.00 (A),3.00,4.72,4.79,4.86
"Browne, Emily",SYN 2 - Inquiring/Changing Planet (007),WI24,"20
(90.00%)",3.99 (A-),3.78,4.40,4.57,4.76
"Tripathi, Tarang",SYN 2 - Inquiring/Changing Planet (008),WI24,"21
(38.10%)",3.97 (A-),2.50,4.66,4.75,4.69
"Vega, Adrian",SYN 2 - Inquiring/Changing Planet (009),WI24,"20
(60.00%)",3.80 (A-),3.00,4.02,4.25,4.45
"Deavenport, James Cary",SYN 2 - Inquiring/Changing Planet (010),WI24,"19
(42.11%)",4.00 (A),3.50,3.94,4.32,4.53
"Tripathi, Tarang",SYN 2 - Inquiring/Changing Planet (011),WI24,"20
(55.00%)",4.00 (A),3.55,4.84,4.89,4.89
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (012),WI24,"20
(30.00%)",3.88 (A-),2.67,4.17,4.38,4.33
"Iatarola, Briana Marie",SYN 2 - Inquiring/Changing Planet (013),WI24,"20
(40.00%)",3.99 (A-),4.75,4.78,4.87,4.84
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (014),WI24,"19
(31.58%)",3.93 (A-),4.00,4.08,3.87,4.21
"Iatarola, Briana Marie",SYN 2 - Inquiring/Changing Planet (015),WI24,"20
(40.00%)",4.00 (A),3.75,4.59,4.84,4.88
"Vega, Adrian",SYN 2 - Inquiring/Changing Planet (017),WI24,"20
(50.00%)",3.97 (A-),3.60,3.78,3.73,4.33
"Browne, Emily",SYN 2 - Inquiring/Changing Planet (018),WI24,"19
(84.21%)",3.86 (A-),4.00,4.41,4.70,4.76
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (019),WI24,"20
(90.00%)",3.96 (A-),3.67,4.65,4.73,4.74
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (020),WI24,"19
(84.21%)",3.86 (A-),3.40,4.33,4.39,4.52
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (021),WI24,"19
(89.47%)",3.98 (A-),3.59,4.31,4.45,4.60
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (022),WI24,"20
(60.00%)",3.94 (A-),3.83,3.96,3.81,4.42
"Tawater, Hanna Jean",SYN 2 - Inquiring/Changing Planet (005),FA23,"20
(80.00%)",3.99 (A-),5.00,4.65,4.81,4.86
"Atkinson, Arthur Laird",SYN 2 - Inquiring/Changing Planet (007),FA23,"22
(18.18%)",3.73 (A-),5.00,4.81,4.94,5.00
"Meyer, Leslie Rose",SYN 2 - Inquiring/Changing Planet (008),FA23,"20
(60.00%)",3.83 (A-),5.00,4.56,4.67,4.79
"Browne, Emily",SYN 2 - Inquiring/Changing Planet (009),FA23,"20
(90.00%)",3.88 (A-),5.28,4.48,4.63,4.58
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (010),FA23,"20
(85.00%)",3.96 (A-),5.29,4.18,4.46,4.72
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (016),FA23,"18
(16.67%)",4.00 (A),5.00,4.17,4.33,4.42
"Deavenport, James Cary",SYN 2 - Inquiring/Changing Planet (017),FA23,"22
(31.82%)",3.99 (A-),4.29,4.75,4.50,4.61
"Hom, Kirstyn Courtney",SYN 2 - Inquiring/Changing Planet (018),FA23,"20
(75.00%)",3.94 (A-),5.00,3.88,3.97,4.43
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (019),FA23,"20
(90.00%)",3.92 (A-),5.00,4.37,4.62,4.83
"Difruscio, Mark",SYN 2 - Inquiring/Changing Planet (020),FA23,"19
(36.84%)",3.98 (A-),5.00,4.36,4.48,4.57
"Meyer, Leslie Rose",SYN 2 - Inquiring/Changing Planet (023),FA23,"19
(57.89%)",3.88 (A-),5.00,4.64,4.77,4.82
"Bishop, Graham",SYN 2 - Inquiring/Changing Planet (024),FA23,"20
(90.00%)",3.81 (A-),4.72,4.15,4.56,4.71
"Browne, Emily",SYN 2 - Explorations/Changing Planet (002),S223,"16
(43.75%)",3.98 (A-),7.14,4.82,4.70,4.81
"Vega, Adrian",SYN 2 - Explorations/Changing Planet (003),S223,"16
(43.75%)",3.82 (A-),7.14,3.79,3.59,4.11
"Iatarola, Briana Marie",SYN 2 - Explorations/Changing Planet (001),S123,"15
(20.00%)",3.73 (A-),8.33,4.42,4.83,4.75
"Deavenport, James Cary",SYN 2 - Explorations/Changing Planet (002),S123,"14
(21.43%)",3.71 (A-),6.67,4.50,4.67,4.42
"Iatarola, Briana Marie",SYN 2 - Explorations/Changing Planet (003),S123,"13
(69.23%)",4.00 (A),7.78,4.44,4.78,4.75
"Rosenberg, Ryan Glenn",SYN 2 - Explorations/Changing Planet (004),S123,"16
(100.00%)",3.88 (A-),5.31,4.69,4.93,4.91
