INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (001),WI24,"20
(70.00%)",3.63 (B+),4.00,4.61,4.63,4.84
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (002),WI24,"20
(75.00%)",3.68 (B+),5.71,4.86,4.93,4.95
"Vega, Adrian",SYN 150 - Defining Scope/Changing Planet (004),WI24,"18
(22.22%)",3.61 (B+),2.50,4.75,4.81,4.94
"Gladstein, Jill M",SYN 150 - Defining Scope/Changing Planet (005),WI24,"14
(42.86%)",3.51 (B+),5.00,4.58,4.83,4.83
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (001),FA23,"19
(47.37%)",3.63 (B+),5.00,4.86,4.97,4.94
"Birberick, Brittany Celest",SYN 150 - Defining Scope/Changing Planet (002),FA23,"17
(70.59%)",3.68 (B+),6.25,4.33,4.46,4.81
"Gladstein, Jill M",SYN 150 - Defining Scope/Changing Planet (003),FA23,"20
(20.00%)",3.40 (B+),5.00,4.94,4.88,5.00
"Vega, Adrian",SYN 150 - Defining Scope/Changing Planet (004),FA23,"18
(61.11%)",3.61 (B+),5.91,4.02,3.90,4.56
"Vega, Adrian",SYN 150 - Defining Scope/Changing Planet (005),FA23,"17
(29.41%)",3.71 (A-),6.00,3.40,3.37,3.85
