INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
David Lee Fisk,POLI 153 - The EU in World Politics,WI24,125,21.6,3.49,4.78,4.80,4.76,4.81
Graham Timmins,POLI 153 - The EU in World Politics,S223,24,20.83,3.92,8.00,4.80,4.70,4.78
