INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Makeba Jones,"EDS 117 - Language, Culture & Education",WI24,77,33.77,3.79,5.15,4.69,4.56,4.72
Makeba Jones,"EDS 117 - Language, Culture & Education",FA23,71,22.54,3.79,5.94,4.62,4.49,4.69
Ruby Osoria,"EDS 117 - Language, Culture & Education",S323,44,22.73,3.9,7.00,4.38,4.20,4.53
