INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Winkielman, Piotr",PSYC 114 - Lab/Psychophysiological Persp (B00),S223,"30
(16.67%)",3.63 (B+),6.00,4.65,4.42,4.75
"Winkielman, Piotr",PSYC 114 - Lab/Psychophysiological Persp (A00),S123,"28
(17.86%)",3.59 (B+),7.50,3.50,3.44,4.24
