INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A00),WI24,"87
(27.59%)",2.74 (B-),10.71,4.52,4.35,4.55
"Langlois, Marina",DSC 30 - DataStrc/Algrthms for Data Sci (A00),FA23,"92
(32.61%)",2.74 (B-),9.83,4.39,4.21,4.50
"Lin, Kevin",DSC 30 - DataStrc/Algrthms for Data Sci (A00),S123,"46
(86.96%)",3.58 (B+),8.88,4.14,4.20,4.58
