INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Sloane, Julia Kathryn",GLBH 150 - Culture and Mental Health (A00),WI24,"33
(27.27%)",3.68 (B+),4.11,4.44,4.14,4.53
"Ismail, Ramsey",GLBH 150 - Culture and Mental Health (A00),S123,"15
(80.00%)",2.68 (C+),7.92,4.35,4.21,4.42
