INSTRUCTOR,COURSE,TERM,"ENROLLED/
RESP RATE",AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
"Pickett, Brooke Elizabeth",BIMM 121 - Microbiology Laboratory (A00),WI24,"48
(91.67%)",3.90 (A-),4.64,4.72,4.67,4.76
"Gustafson-Brown, Cindy",BIMM 121 - Microbiology Laboratory (B00),WI24,"47
(91.49%)",3.29 (B),6.02,4.52,4.28,4.56
"Pirino, Giorgia",BIMM 121 - Microbiology Laboratory (C00),WI24,"95
(60.00%)",3.16 (B),7.02,4.03,3.72,4.37
"Petrie, Katherine Lynn",BIMM 121 - Microbiology Laboratory (A00),FA23,"49
(85.71%)",3.99 (A-),5.48,4.67,4.59,4.62
"Pickett, Brooke Elizabeth",BIMM 121 - Microbiology Laboratory (B00),FA23,"48
(83.33%)",3.90 (A-),6.38,4.67,4.58,4.69
"Pirino, Giorgia",BIMM 121 - Microbiology Laboratory (C00),FA23,"91
(56.04%)",3.16 (B),7.16,4.20,3.98,4.57
"Pirino, Giorgia",BIMM 121 - Microbiology Laboratory (C00),SP23,"46
(54.35%)",3.16 (B),8.60,3.92,3.65,4.37
