INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Aobo Li,DSC 40A - Theor Fndtns of Data Sci I,WI24,150,61.33,2.89,8.81,4.05,3.83,4.27
Yian Ma,DSC 40A - Theor Fndtns of Data Sci I,FA23,149,30.87,3.27,9.02,3.80,3.33,4.45
Rod Albuyeh,DSC 40A - Theor Fndtns of Data Sci I,S123,29,86.21,3.33,9.00,4.50,4.40,4.55
Janine LoBue Tiefenbruck,DSC 40A - Theor Fndtns of Data Sci I,SP23,140,80.0,2.91,9.07,4.28,4.11,4.46
