INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Alexandros Kolovos,DSC 40B - Theor Fndtns of Data Sci II,WI24,46,26.09,3.13,6.00,4.54,4.31,4.55
Puoya Tabaghi,DSC 40B - Theor Fndtns of Data Sci II,WI24,63,22.22,3.72,6.14,4.14,3.82,4.05
Justin Matthew Eldridge,DSC 40B - Theor Fndtns of Data Sci II,FA23,100,28.0,3.3,8.21,4.71,4.62,4.59
Akbar Rafiey,DSC 40B - Theor Fndtns of Data Sci II,FA23,33,33.33,3.06,8.18,4.41,4.56,4.52
