INSTRUCTOR,COURSE,TERM,ENROLLED,RESP RATE,AVG GRADE RECEIVED,AVG HOURS WORKED,STUDENT LEARNING,COURSE STRUCTURE,CLASS ENVIRONMENT
Annika Britt Stone,ANTH 21 - Race and Racisms,WI24,338,55.92,3.58,3.30,4.35,4.30,4.47
Annika Britt Stone,ANTH 21 - Race and Racisms,FA23,360,62.22,3.58,5.20,4.28,4.29,4.58
Eric Andrew Rodriguez,ANTH 21 - Race and Racisms,S223,60,21.67,3.41,5.77,4.73,4.63,4.74
Annika Britt Stone,ANTH 21 - Race and Racisms,SP23,145,62.07,3.58,5.28,4.41,4.42,4.61
